nested_records/nesting_to_many_relationships/film_title_actor_name_category_name
Problem:
Actors not grouped, cartesian product as result


Query Sql String:
select `Film`.`TITLE`, `ACTOR`.`FIRST_NAME`, `ACTOR`.`LAST_NAME`, `category`.`name` from `ACTOR` join `FILM_ACTOR` on `ACTOR`.`ACTOR_ID` = `FILM_ACTOR`.`ACTOR_ID` join `Film` on `FILM_ACTOR`.`FILM_ID` = `Film`.`FILM_ID` join `film_category` on `Film`.`FILM_ID` = `film_category`.`film_id` join `category` on `film_category`.`category_id` = `category`.`category_id` order by 1, 2, 3, 4
The formatted plan as returned by the database:
 +----+-----------+-------------+----------+------+---------------------------------+-------------------------+-------+----------------------------+----+--------+-------------------------------+
|  id|select_type|table        |partitions|type  |possible_keys                    |key                      |key_len|ref                         |rows|filtered|Extra                          |
+----+-----------+-------------+----------+------+---------------------------------+-------------------------+-------+----------------------------+----+--------+-------------------------------+
|   1|SIMPLE     |category     |{null}    |ALL   |PRIMARY                          |{null}                   |{null} |{null}                      |  16|   100.0|Using temporary; Using filesort|
|   1|SIMPLE     |film_category|{null}    |ref   |PRIMARY,fk_film_category_category|fk_film_category_category|4      |sakila.category.category_id |  62|   100.0|Using index                    |
|   1|SIMPLE     |Film         |{null}    |eq_ref|PRIMARY                          |PRIMARY                  |4      |sakila.film_category.film_id|   1|   100.0|{null}                         |
|   1|SIMPLE     |FILM_ACTOR   |{null}    |ref   |PRIMARY,idx_fk_film_id           |idx_fk_film_id           |4      |sakila.film_category.film_id|   5|   100.0|Using index                    |
|   1|SIMPLE     |ACTOR        |{null}    |eq_ref|PRIMARY                          |PRIMARY                  |4      |sakila.FILM_ACTOR.actor_id  |   1|   100.0|{null}                         |
+----+-----------+-------------+----------+------+---------------------------------+-------------------------+-------+----------------------------+----+--------+-------------------------------+

The cost the database associated with the execution of the query:  NaN
The estimated number of rows (cardinality) that is to be returned by the query: 16.0
The actual number of rows (cardinality) returned by the query:  5462

Result Records:
  +----------------+----------+---------+-----------+
|TITLE           |FIRST_NAME|LAST_NAME|name       |
+----------------+----------+---------+-----------+
|ACADEMY DINOSAUR|CHRISTIAN |GABLE    |Documentary|
|ACADEMY DINOSAUR|JOHNNY    |CAGE     |Documentary|
|ACADEMY DINOSAUR|LUCILLE   |TRACY    |Documentary|
|ACADEMY DINOSAUR|MARY      |KEITEL   |Documentary|
|ACADEMY DINOSAUR|MENA      |TEMPLE   |Documentary|
|ACADEMY DINOSAUR|OPRAH     |KILMER   |Documentary|
|ACADEMY DINOSAUR|PENELOPE  |GUINESS  |Documentary|
|ACADEMY DINOSAUR|ROCK      |DUKAKIS  |Documentary|
|ACADEMY DINOSAUR|SANDRA    |PECK     |Documentary|
|ACADEMY DINOSAUR|WARREN    |NOLTE    |Documentary|
|ACE GOLDFINGER  |BOB       |FAWCETT  |Horror     |
|ACE GOLDFINGER  |CHRIS     |DEPP     |Horror     |
|ACE GOLDFINGER  |MINNIE    |ZELLWEGER|Horror     |
|ACE GOLDFINGER  |SEAN      |GUINESS  |Horror     |
|ADAPTATION HOLES|BOB       |FAWCETT  |Documentary|
|ADAPTATION HOLES|CAMERON   |STREEP   |Documentary|
|ADAPTATION HOLES|JULIANNE  |DENCH    |Documentary|
|ADAPTATION HOLES|NICK      |WAHLBERG |Documentary|
|ADAPTATION HOLES|RAY       |JOHANSSON|Documentary|
|AFFAIR PREJUDICE|FAY       |WINSLET  |Horror     |
|AFFAIR PREJUDICE|JODIE     |DEGENERES|Horror     |
|AFFAIR PREJUDICE|KENNETH   |PESCI    |Horror     |
|AFFAIR PREJUDICE|OPRAH     |KILMER   |Horror     |
|AFFAIR PREJUDICE|SCARLETT  |DAMON    |Horror     |
|AFRICAN EGG     |DUSTIN    |TAUTOU   |Family     |
|AFRICAN EGG     |GARY      |PHOENIX  |Family     |
|AFRICAN EGG     |MATTHEW   |CARREY   |Family     |
|AFRICAN EGG     |MATTHEW   |LEIGH    |Family     |
|AFRICAN EGG     |THORA     |TEMPLE   |Family     |
|AGENT TRUMAN    |JAYNE     |NEESON   |Foreign    |
|AGENT TRUMAN    |KENNETH   |HOFFMAN  |Foreign    |
|AGENT TRUMAN    |KIRSTEN   |PALTROW  |Foreign    |
|AGENT TRUMAN    |MORGAN    |WILLIAMS |Foreign    |
|AGENT TRUMAN    |REESE     |WEST     |Foreign    |
|AGENT TRUMAN    |SANDRA    |KILMER   |Foreign    |
|AGENT TRUMAN    |WARREN    |NOLTE    |Foreign    |
|AIRPLANE SIERRA |JIM       |MOSTEL   |Comedy     |
|AIRPLANE SIERRA |MENA      |HOPPER   |Comedy     |
|AIRPLANE SIERRA |MICHAEL   |BOLGER   |Comedy     |
|AIRPLANE SIERRA |OPRAH     |KILMER   |Comedy     |
|AIRPLANE SIERRA |RICHARD   |PENN     |Comedy     |
|AIRPORT POLLOCK |FAY       |KILMER   |Horror     |
|AIRPORT POLLOCK |GENE      |WILLIS   |Horror     |
|AIRPORT POLLOCK |LUCILLE   |DEE      |Horror     |
|AIRPORT POLLOCK |SUSAN     |DAVIS    |Horror     |
|ALABAMA DEVIL   |CHRISTIAN |GABLE    |Horror     |
|ALABAMA DEVIL   |ELVIS     |MARX     |Horror     |
|ALABAMA DEVIL   |GRETA     |KEITEL   |Horror     |
|ALABAMA DEVIL   |MENA      |TEMPLE   |Horror     |
|ALABAMA DEVIL   |MERYL     |ALLEN    |Horror     |
|ALABAMA DEVIL   |RIP       |CRAWFORD |Horror     |
|ALABAMA DEVIL   |RIP       |WINSLET  |Horror     |
|ALABAMA DEVIL   |WARREN    |NOLTE    |Horror     |
|ALABAMA DEVIL   |WILLIAM   |HACKMAN  |Horror     |
|ALADDIN CALENDAR|ALEC      |WAYNE    |Sports     |
|ALADDIN CALENDAR|GRETA     |MALDEN   |Sports     |
|ALADDIN CALENDAR|JADA      |RYDER    |Sports     |
|ALADDIN CALENDAR|JUDY      |DEAN     |Sports     |
|ALADDIN CALENDAR|RAY       |JOHANSSON|Sports     |
|ALADDIN CALENDAR|RENEE     |TRACY    |Sports     |
|ALADDIN CALENDAR|ROCK      |DUKAKIS  |Sports     |
|ALADDIN CALENDAR|VAL       |BOLGER   |Sports     |
|ALAMO VIDEOTAPE |JOHNNY    |CAGE     |Foreign    |
|ALAMO VIDEOTAPE |MICHAEL   |BENING   |Foreign    |
|ALAMO VIDEOTAPE |SCARLETT  |DAMON    |Foreign    |
|ALAMO VIDEOTAPE |SEAN      |GUINESS  |Foreign    |
|ALASKA PHANTOM  |ALBERT    |JOHANSSON|Music      |
|ALASKA PHANTOM  |BURT      |POSEY    |Music      |
|ALASKA PHANTOM  |GENE      |MCKELLEN |Music      |
|ALASKA PHANTOM  |JEFF      |SILVER...|Music      |
|ALASKA PHANTOM  |SIDNEY    |CROWE    |Music      |
|ALASKA PHANTOM  |SYLVESTER |DERN     |Music      |
|ALASKA PHANTOM  |VAL       |BOLGER   |Music      |
|ALI FOREVER     |CARY      |MCCONA...|Horror     |
|ALI FOREVER     |CHRISTO...|BERRY    |Horror     |
|ALI FOREVER     |JON       |CHASE    |Horror     |
|ALI FOREVER     |KENNETH   |TORN     |Horror     |
|ALI FOREVER     |MORGAN    |MCDORMAND|Horror     |
|ALICE FANTASIA  |MINNIE    |ZELLWEGER|Classics   |
|ALICE FANTASIA  |MORGAN    |WILLIAMS |Classics   |
|ALICE FANTASIA  |ROCK      |DUKAKIS  |Classics   |
|ALICE FANTASIA  |WOODY     |HOFFMAN  |Classics   |
|ALIEN CENTER    |BURT      |DUKAKIS  |Foreign    |
|ALIEN CENTER    |HUMPHREY  |WILLIS   |Foreign    |
|ALIEN CENTER    |KENNETH   |PALTROW  |Foreign    |
|ALIEN CENTER    |MENA      |HOPPER   |Foreign    |
|ALIEN CENTER    |RENEE     |TRACY    |Foreign    |
|ALIEN CENTER    |SIDNEY    |CROWE    |Foreign    |
|ALLEY EVOLUTION |ALBERT    |JOHANSSON|Foreign    |
|ALLEY EVOLUTION |GREGORY   |GOODING  |Foreign    |
|ALLEY EVOLUTION |JOHN      |SUVARI   |Foreign    |
|ALLEY EVOLUTION |JUDE      |CRUISE   |Foreign    |
|ALLEY EVOLUTION |KARL      |BERRY    |Foreign    |
|ALONE TRIP      |CHRIS     |DEPP     |Music      |
|ALONE TRIP      |ED        |CHASE    |Music      |
|ALONE TRIP      |KARL      |BERRY    |Music      |
|ALONE TRIP      |LAURENCE  |BULLOCK  |Music      |
|ALONE TRIP      |RENEE     |BALL     |Music      |
|ALONE TRIP      |SPENCER   |DEPP     |Music      |
|ALONE TRIP      |UMA       |WOOD     |Music      |
|ALONE TRIP      |WOODY     |JOLIE    |Music      |
|ALTER VICTORY   |ANGELA    |WITHER...|Animation  |
|ALTER VICTORY   |JADA      |RYDER    |Animation  |
|ALTER VICTORY   |OPRAH     |KILMER   |Animation  |
|ALTER VICTORY   |REESE     |KILMER   |Animation  |
|AMADEUS HOLY    |JAMES     |PITT     |Action     |
|AMADEUS HOLY    |JOHNNY    |LOLLOB...|Action     |
|AMADEUS HOLY    |JULIA     |MCQUEEN  |Action     |
|AMADEUS HOLY    |KIRK      |JOVOVICH |Action     |
|AMADEUS HOLY    |PENELOPE  |CRONYN   |Action     |
|AMADEUS HOLY    |VAL       |BOLGER   |Action     |
|AMELIE HELLFI...|CARMEN    |HUNT     |Music      |
|AMELIE HELLFI...|ED        |MANSFIELD|Music      |
|AMELIE HELLFI...|EWAN      |GOODING  |Music      |
|AMELIE HELLFI...|IAN       |TANDY    |Music      |
|AMELIE HELLFI...|LAURA     |BRODY    |Music      |
|AMELIE HELLFI...|WALTER    |TORN     |Music      |
|AMERICAN CIRCUS |FRANCES   |TOMEI    |Action     |
|AMERICAN CIRCUS |KEVIN     |BLOOM    |Action     |
|AMERICAN CIRCUS |RIP       |CRAWFORD |Action     |
|AMERICAN CIRCUS |SIDNEY    |CROWE    |Action     |
|AMERICAN CIRCUS |WARREN    |JACKMAN  |Action     |
